hour_utc,constellation,n_catalogued,n_above,mean_simultaneous,max_simultaneous
2024-04-20T20:00:00Z,BeiDou,54,15,15.0,15
2024-04-20T20:00:00Z,NavIC,9,5,5.0,5
2024-04-20T20:00:00Z,QZSS,5,1,0.15,1
2024-04-20T20:00:00Z,Iridium,109,16,2.283333333333333,4
2024-04-20T20:00:00Z,Globalstar,85,27,5.8,9
2024-04-20T20:00:00Z,Inmarsat,20,9,9.0,9
2024-04-20T20:00:00Z,Starlink,5819,1236,123.21666666666667,151
2024-04-20T20:00:00Z,OneWeb,634,125,19.883333333333333,24
2024-04-20T21:00:00Z,GPS,75,24,22.5,23
2024-04-20T21:00:00Z,GLONASS,143,36,30.283333333333335,31
2024-04-20T21:00:00Z,Galileo,28,8,6.95,7
2024-04-20T21:00:00Z,BeiDou,54,16,15.033333333333333,16
2024-04-20T21:00:00Z,NavIC,9,5,5.0,5
2024-04-20T21:00:00Z,QZSS,5,0,0.0,0
2024-04-20T21:00:00Z,Iridium,109,17,1.9166666666666667,4
2024-04-20T21:00:00Z,Globalstar,85,30,6.283333333333333,11
2024-04-20T21:00:00Z,Inmarsat,20,9,9.0,9
2024-04-20T21:00:00Z,Starlink,5819,1180,115.98333333333333,126
2024-04-20T21:00:00Z,OneWeb,634,130,21.4,25
2024-04-20T22:00:00Z,GPS,75,25,22.5,24
2024-04-20T22:00:00Z,GLONASS,143,39,31.316666666666666,33
2024-04-20T22:00:00Z,Galileo,28,10,8.016666666666667,9
2024-04-20T22:00:00Z,BeiDou,54,18,15.5,17
2024-04-20T22:00:00Z,NavIC,9,5,5.0,5
2024-04-20T22:00:00Z,QZSS,5,0,0.0,0
2024-04-20T22:00:00Z,Iridium,109,12,1.7,4
2024-04-20T22:00:00Z,Globalstar,85,26,5.616666666666666,9
2024-04-20T22:00:00Z,Inmarsat,20,9,9.0,9
2024-04-20T22:00:00Z,Starlink,5819,1291,125.41666666666667,148
2024-04-20T22:00:00Z,OneWeb,634,128,20.4,27
2024-04-20T23:00:00Z,GPS,75,23,21.216666666666665,22
2024-04-20T23:00:00Z,GLONASS,143,43,33.45,37
2024-04-20T23:00:00Z,Galileo,28,10,8.883333333333333,9
2024-04-20T23:00:00Z,BeiDou,54,17,16.233333333333334,17
2024-04-20T23:00:00Z,NavIC,9,5,5.0,5
2024-04-20T23:00:00Z,QZSS,5,0,0.0,0
2024-04-20T23:00:00Z,Iridium,109,18,2.15,5
2024-04-20T23:00:00Z,Globalstar,85,30,6.516666666666667,10
2024-04-20T23:00:00Z,Inmarsat,20,9,9.0,9
2024-04-20T23:00:00Z,Starlink,5819,1241,121.73333333333333,137
2024-04-20T23:00:00Z,OneWeb,634,134,21.866666666666667,28
2024-04-21T00:00:00Z,GPS,75,26,20.983333333333334,25
2024-04-21T00:00:00Z,GLONASS,143,50,39.266666666666666,44
2024-04-21T00:00:00Z,Galileo,28,12,9.366666666666667,11
2024-04-21T00:00:00Z,BeiDou,54,17,15.466666666666667,17
2024-04-21T00:00:00Z,NavIC,9,5,5.0,5
2024-04-21T00:00:00Z,QZSS,5,0,0.0,0
2024-04-21T00:00:00Z,Iridium,109,21,2.6333333333333333,6
2024-04-21T00:00:00Z,Globalstar,85,28,5.233333333333333,9
2024-04-21T00:00:00Z,Inmarsat,20,9,9.0,9
2024-04-21T00:00:00Z,Starlink,5819,1242,124.0,142
2024-04-21T00:00:00Z,OneWeb,634,128,21.283333333333335,26
2024-04-21T01:00:00Z,GPS,75,29,22.933333333333334,25
2024-04-21T01:00:00Z,GLONASS,143,61,49.266666666666666,55
2024-04-21T01:00:00Z,Galileo,28,12,11.4,12
2024-04-21T01:00:00Z,BeiDou,54,17,14.833333333333334,16
2024-04-21T01:00:00Z,NavIC,9,5,5.0,5
2024-04-21T01:00:00Z,QZSS,5,0,0.0,0
2024-04-21T01:00:00Z,Iridium,109,22,2.716666666666667,5
2024-04-21T01:00:00Z,Globalstar,85,31,6.716666666666667,9
2024-04-21T01:00:00Z,Inmarsat,20,9,9.0,9
2024-04-21T01:00:00Z,Starlink,5819,1184,114.8,132
2024-04-21T01:00:00Z,OneWeb,634,129,21.216666666666665,25
2024-04-21T02:00:00Z,GPS,75,27,22.9,24
2024-04-21T02:00:00Z,GLONASS,143,61,55.43333333333333,59
2024-04-21T02:00:00Z,Galileo,28,12,10.95,12
2024-04-21T02:00:00Z,BeiDou,54,16,13.9,15
2024-04-21T02:00:00Z,NavIC,9,5,5.0,5
2024-04-21T02:00:00Z,QZSS,5,0,0.0,0
2024-04-21T02:00:00Z,Iridium,109,18,1.9833333333333334,4
2024-04-21T02:00:00Z,Globalstar,85,24,5.216666666666667,8
2024-04-21T02:00:00Z,Inmarsat,20,9,9.0,9
2024-04-21T02:00:00Z,Starlink,5819,1128,109.53333333333333,122
2024-04-21T02:00:00Z,OneWeb,634,129,20.916666666666668,24
2024-04-21T03:00:00Z,GPS,75,27,23.866666666666667,25
2024-04-21T03:00:00Z,GLONASS,143,61,52.0,56
2024-04-21T03:00:00Z,Galileo,28,12,10.366666666666667,11
2024-04-21T03:00:00Z,BeiDou,54,19,14.516666666666667,17
2024-04-21T03:00:00Z,NavIC,9,5,5.0,5
2024-04-21T03:00:00Z,QZSS,5,0,0.0,0
2024-04-21T03:00:00Z,Iridium,109,15,1.9,4
2024-04-21T03:00:00Z,Globalstar,85,21,5.15,9
2024-04-21T03:00:00Z,Inmarsat,20,9,9.0,9
2024-04-21T03:00:00Z,Starlink,5819,1166,115.08333333333333,128
2024-04-21T03:00:00Z,OneWeb,634,125,20.4,24
2024-04-21T04:00:00Z,GPS,75,28,22.783333333333335,25
2024-04-21T04:00:00Z,GLONASS,143,56,46.833333333333336,49
2024-04-21T04:00:00Z,Galileo,28,11,10.3,11
2024-04-21T04:00:00Z,BeiDou,54,18,16.866666666666667,17
2024-04-21T04:00:00Z,NavIC,9,5,5.0,5
2024-04-21T04:00:00Z,QZSS,5,0,0.0,0
2024-04-21T04:00:00Z,Iridium,109,17,1.9,4
2024-04-21T04:00:00Z,Globalstar,85,24,5.816666666666666,9
2024-04-21T04:00:00Z,Inmarsat,20,9,9.0,9
2024-04-21T04:00:00Z,Starlink,5819,1208,119.96666666666667,136
2024-04-21T04:00:00Z,OneWeb,634,128,20.566666666666666,24
2024-04-21T05:00:00Z,GPS,75,27,22.466666666666665,24
2024-04-21T05:00:00Z,GLONASS,143,53,47.3,49
2024-04-21T05:00:00Z,Galileo,28,11,8.083333333333334,10
2024-04-21T05:00:00Z,BeiDou,54,18,16.65,17
2024-04-21T05:00:00Z,NavIC,9,5,5.0,5
2024-04-21T05:00:00Z,QZSS,5,0,0.0,0
2024-04-21T05:00:00Z,Iridium,109,18,2.1666666666666665,4
2024-04-21T05:00:00Z,Globalstar,85,23,5.183333333333334,9
2024-04-21T05:00:00Z,Inmarsat,20,9,9.0,9
2024-04-21T05:00:00Z,Starlink,5819,1231,120.95,140
2024-04-21T05:00:00Z,OneWeb,634,123,20.1,26
2024-04-21T06:00:00Z,GPS,75,26,23.683333333333334,25
2024-04-21T06:00:00Z,GLONASS,143,54,42.9,46
2024-04-21T06:00:00Z,Galileo,28,9,8.133333333333333,9
2024-04-21T06:00:00Z,BeiDou,54,19,17.883333333333333,19
2024-04-21T06:00:00Z,NavIC,9,5,5.0,5
2024-04-21T06:00:00Z,QZSS,5,0,0.0,0
2024-04-21T06:00:00Z,Iridium,109,19,1.9666666666666666,6
2024-04-21T06:00:00Z,Globalstar,85,29,7.0,10
2024-04-21T06:00:00Z,Inmarsat,20,9,9.0,9
2024-04-21T06:00:00Z,Starlink,5819,1196,118.28333333333333,129
2024-04-21T06:00:00Z,OneWeb,634,129,20.816666666666666,26
2024-04-21T07:00:00Z,GPS,75,20,18.766666666666666,20
2024-04-21T07:00:00Z,GLONASS,143,57,44.45,48
2024-04-21T07:00:00Z,Galileo,28,8,7.116666666666666,8
2024-04-21T07:00:00Z,BeiDou,54,21,17.716666666666665,19
2024-04-21T07:00:00Z,NavIC,9,5,5.0,5
2024-04-21T07:00:00Z,QZSS,5,0,0.0,0
2024-04-21T07:00:00Z,Iridium,109,21,2.2666666666666666,5
2024-04-21T07:00:00Z,Globalstar,85,27,5.75,8
2024-04-21T07:00:00Z,Inmarsat,20,9,9.0,9
2024-04-21T07:00:00Z,Starlink,5819,1201,118.38333333333334,128
2024-04-21T07:00:00Z,OneWeb,634,127,20.766666666666666,24
2024-04-21T08:00:00Z,GPS,75,22,17.033333333333335,20
2024-04-21T08:00:00Z,GLONASS,143,56,48.96666666666667,52
2024-04-21T08:00:00Z,Galileo,28,10,7.016666666666667,9
2024-04-21T08:00:00Z,BeiDou,54,19,18.416666666666668,19
2024-04-21T08:00:00Z,NavIC,9,5,5.0,5
2024-04-21T08:00:00Z,QZSS,5,0,0.0,0
2024-04-21T08:00:00Z,Iridium,109,18,2.2333333333333334,4
2024-04-21T08:00:00Z,Globalstar,85,30,6.5,15
2024-04-21T08:00:00Z,Inmarsat,20,9,9.0,9
2024-04-21T08:00:00Z,Starlink,5819,1205,121.35,135
2024-04-21T08:00:00Z,OneWeb,634,137,22.466666666666665,27
2024-04-21T09:00:00Z,GPS,75,20,16.5,19
2024-04-21T09:00:00Z,GLONASS,143,59,50.6,54
2024-04-21T09:00:00Z,Galileo,28,11,9.1,10
2024-04-21T09:00:00Z,BeiDou,54,20,16.633333333333333,18
2024-04-21T09:00:00Z,NavIC,9,5,5.0,5
2024-04-21T09:00:00Z,QZSS,5,0,0.0,0
2024-04-21T09:00:00Z,Iridium,109,18,2.1166666666666667,4
2024-04-21T09:00:00Z,Globalstar,85,33,7.216666666666667,10
2024-04-21T09:00:00Z,Inmarsat,20,9,9.0,9
2024-04-21T09:00:00Z,Starlink,5819,1179,116.9,134
2024-04-21T09:00:00Z,OneWeb,634,137,23.266666666666666,26
2024-04-21T10:00:00Z,GPS,75,25,21.0,22
2024-04-21T10:00:00Z,GLONASS,143,54,47.45,50
2024-04-21T10:00:00Z,Galileo,28,10,9.883333333333333,10
2024-04-21T10:00:00Z,BeiDou,54,19,14.7,17
2024-04-21T10:00:00Z,NavIC,9,5,5.0,5
2024-04-21T10:00:00Z,QZSS,5,0,0.0,0
2024-04-21T10:00:00Z,Iridium,109,16,1.9333333333333333,5
2024-04-21T10:00:00Z,Globalstar,85,34,6.383333333333334,11
2024-04-21T10:00:00Z,Inmarsat,20,9,9.0,9
2024-04-21T10:00:00Z,Starlink,5819,1156,112.0,125
2024-04-21T10:00:00Z,OneWeb,634,140,23.333333333333332,27
2024-04-21T11:00:00Z,GPS,75,26,22.25,23
2024-04-21T11:00:00Z,GLONASS,143,49,36.81666666666667,45
2024-04-21T11:00:00Z,Galileo,28,10,8.3,9
2024-04-21T11:00:00Z,BeiDou,54,19,15.116666666666667,16
2024-04-21T11:00:00Z,NavIC,9,5,5.0,5
2024-04-21T11:00:00Z,QZSS,5,0,0.0,0
2024-04-21T11:00:00Z,Iridium,109,17,2.0833333333333335,4
2024-04-21T11:00:00Z,Globalstar,85,30,6.683333333333334,13
2024-04-21T11:00:00Z,Inmarsat,20,9,9.0,9
2024-04-21T11:00:00Z,Starlink,5819,1120,111.13333333333334,123
2024-04-21T11:00:00Z,OneWeb,634,141,22.85,27
2024-04-21T12:00:00Z,GPS,75,27,23.65,25
2024-04-21T12:00:00Z,GLONASS,143,34,27.25,31
2024-04-21T12:00:00Z,Galileo,28,9,8.333333333333334,9
2024-04-21T12:00:00Z,BeiDou,54,17,16.0,16
2024-04-21T12:00:00Z,NavIC,9,5,5.0,5
2024-04-21T12:00:00Z,QZSS,5,0,0.0,0
2024-04-21T12:00:00Z,Iridium,109,19,2.3666666666666667,4
2024-04-21T12:00:00Z,Globalstar,85,30,6.8,12
2024-04-21T12:00:00Z,Inmarsat,20,9,9.0,9
2024-04-21T12:00:00Z,Starlink,5819,1197,119.05,137
2024-04-21T12:00:00Z,OneWeb,634,133,21.416666666666668,25
2024-04-21T13:00:00Z,GPS,75,26,23.7,24
2024-04-21T13:00:00Z,GLONASS,143,27,22.616666666666667,25
2024-04-21T13:00:00Z,Galileo,28,8,7.0,7
2024-04-21T13:00:00Z,BeiDou,54,16,16.0,16
2024-04-21T13:00:00Z,NavIC,9,5,5.0,5
2024-04-21T13:00:00Z,QZSS,5,0,0.0,0
2024-04-21T13:00:00Z,Iridium,109,17,2.15,4
2024-04-21T13:00:00Z,Globalstar,85,35,6.6,10
2024-04-21T13:00:00Z,Inmarsat,20,9,9.0,9
2024-04-21T13:00:00Z,Starlink,5819,1248,124.2,135
2024-04-21T13:00:00Z,OneWeb,634,127,21.05,24
2024-04-21T14:00:00Z,GPS,75,27,24.65,25
2024-04-21T14:00:00Z,GLONASS,143,30,23.516666666666666,27
2024-04-21T14:00:00Z,Galileo,28,7,6.983333333333333,7
2024-04-21T14:00:00Z,BeiDou,54,20,17.916666666666668,19
2024-04-21T14:00:00Z,NavIC,9,5,5.0,5
